book1,book2,cosine_similarity
101.txt,250.txt,0.16989817404652374
408.txt,379.txt,0.1698612375823518
169.txt,232.txt,0.16983755170500833
316.txt,137.txt,0.16954267430077688
357.txt,397.txt,0.16944282107763434
475.txt,470.txt,0.16941134460196539
207.txt,317.txt,0.1693438718558519
260.txt,264.txt,0.16916810654164258
10.txt,317.txt,0.16901064080476386
58.txt,261.txt,0.16894226008731505
252.txt,253.txt,0.16878245742007023
400.txt,264.txt,0.16830265256083743
262.txt,442.txt,0.16778191366399553
458.txt,442.txt,0.16773862761636646
200.txt,448.txt,0.16763376156305373
18.txt,444.txt,0.16754672724418632
30.txt,26.txt,0.16743848308134845
261.txt,264.txt,0.16743109367825013
359.txt,357.txt,0.16737022273453758
359.txt,424.txt,0.16735516192287964
50.txt,52.txt,0.16714964480128755
359.txt,232.txt,0.167018788547809
458.txt,397.txt,0.16698448686936146
400.txt,487.txt,0.16693171273128696
476.txt,379.txt,0.1663296896043517
444.txt,445.txt,0.1661681245205903
261.txt,442.txt,0.16598842894293103
130.txt,381.txt,0.16598637383199583
392.txt,151.txt,0.16548023108999094
130.txt,340.txt,0.1653608049991201
392.txt,458.txt,0.16535660288974452
489.txt,352.txt,0.1648504125423691
458.txt,58.txt,0.16483709960338677
169.txt,299.txt,0.16473675034207425
444.txt,379.txt,0.16428499805754074
62.txt,72.txt,0.16426671475553228
316.txt,146.txt,0.16420959953784042
424.txt,317.txt,0.16413313671245555
8.txt,6.txt,0.16362942230089608
475.txt,148.txt,0.1635870080672914
323.txt,460.txt,0.16329661425647943
465.txt,207.txt,0.1631480110015886
10.txt,409.txt,0.16257994614531177
312.txt,264.txt,0.16250890580428606
444.txt,470.txt,0.16228607377677
10.txt,260.txt,0.1621710549474452
409.txt,397.txt,0.16211471031024283
475.txt,381.txt,0.16211377789343656
328.txt,259.txt,0.16163003272766033
465.txt,259.txt,0.1615038147022169
262.txt,309.txt,0.16125822354809968
452.txt,342.txt,0.16119503340678176
312.txt,424.txt,0.1608966139077671
323.txt,304.txt,0.16088283183860225
262.txt,263.txt,0.16085724955701125
359.txt,317.txt,0.16080433360326246
444.txt,408.txt,0.16020515278676092
470.txt,340.txt,0.15992246825995743
323.txt,232.txt,0.15978146930370424
228.txt,424.txt,0.15931724072706444
362.txt,474.txt,0.15929323546444485
259.txt,458.txt,0.15928940540152722
280.txt,333.txt,0.15919460676947478
359.txt,261.txt,0.15912877718851728
309.txt,317.txt,0.15903905474921445
148.txt,424.txt,0.15900066154124887
424.txt,264.txt,0.15897853841750162
79.txt,80.txt,0.15849120376998066
475.txt,445.txt,0.158318066670323
18.txt,475.txt,0.15826831905798425
470.txt,439.txt,0.15824971777886568
171.txt,291.txt,0.15806926633555807
8.txt,2.txt,0.15806221861156247
312.txt,442.txt,0.158011453922736
392.txt,487.txt,0.1579611846935664
258.txt,261.txt,0.15778331846651134
313.txt,207.txt,0.1577830811779326
10.txt,82.txt,0.15764990429013048
452.txt,109.txt,0.1576324714724732
452.txt,359.txt,0.15762668953044567
26.txt,312.txt,0.1576031320862433
260.txt,381.txt,0.15736470877897904
309.txt,313.txt,0.15712950206891552
200.txt,477.txt,0.15685802181940237
444.txt,71.txt,0.1568318933126362
10.txt,458.txt,0.1567615184910998
312.txt,313.txt,0.15662990936997162
452.txt,374.txt,0.1561521568941727
260.txt,470.txt,0.1558700355467453
328.txt,304.txt,0.15578851822375658
487.txt,109.txt,0.15575112792510618
404.txt,475.txt,0.15564231147257906
9.txt,8.txt,0.15556758415800934
444.txt,477.txt,0.15546650073263266
475.txt,374.txt,0.1554284481159038
101.txt,49.txt,0.15539889970555681
200.txt,148.txt,0.15528411784521262
148.txt,400.txt,0.15514519663612739
408.txt,23.txt,0.15471547880758788
444.txt,130.txt,0.1546421547075956
200.txt,67.txt,0.1545587252198865
379.txt,374.txt,0.15442624046072545
475.txt,448.txt,0.154339231939585
452.txt,475.txt,0.15433857472350634
448.txt,379.txt,0.15423069705080678
26.txt,207.txt,0.15409316405593243
379.txt,130.txt,0.1531523830920361
51.txt,462.txt,0.1531230370628834
475.txt,130.txt,0.15287387436739447
260.txt,130.txt,0.1527425900078361
258.txt,397.txt,0.15271032096907455
200.txt,167.txt,0.15253386101905536
